Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
"Asteroth	 Alexander; Hagg	 Alexander; "	How to successfully apply genetic algorithms in practice: Representation and parametrization	2015 International Symposium on Innovations in Intelligent SysTems and Applications (INISTA)			1-6	2015	IEEE
"Dwiputra	 Rhama; Füller	 Matthias; Hegger	 Frederik; Schneider	 Sven; Hochgeschwender	 Nico; Awaad	 Iman; Loza	 José M Sánchez; Ozhigov	 Alexey Y; Biswas	 Saugata; Deshpande	 Niranjan V; "	The b-it-bots RoCKIn@ Work 2014 Team Description Paper						
"Hagg	 Alexander; Mensing	 Maximilian; Asteroth	 Alexander; "	Evolving parsimonious networks by mixing activation functions	Proceedings of the Genetic and Evolutionary Computation Conference			425-432	2017	
"Spieker	 Helge; Hagg	 Alexander; Gaier	 Adam; Meilinger	 Stefanie; Asteroth	 Alexander; "	Multi-stage evolution of single-and multi-objective MCLP	Soft Computing	21	17	4859-4872	2017	Springer Berlin Heidelberg
"Hagg	 Alexander; "	Hierarchical surrogate modeling for illumination algorithms	Proceedings of the Genetic and Evolutionary Computation Conference Companion			1407-1410	2017	
"Hagg	 Alexander; Spieker	 Helge; Oslislo	 Alexander; Jacobs	 Volker; Asteroth	 Alexander; Meilinger	 Stefanie; "	Methodische Grundlegung für eine Strategie zum sukzessiven Ausbau der Ladeinfrastruktur für Elektromobilität in Bonn und dem Rhein-Sieg-Kreis					2015	
"Spieker	 Helge; Hagg	 Alexander; Asteroth	 Alexander; Meilinger	 Stefanie; Jacobs	 Volker; Oslislo	 Alexander; "	Successive evolution of charging station placement	2015 International Symposium on Innovations in Intelligent SysTems and Applications (INISTA)			1-7	2015	IEEE
"Hagg	 Alexander; Hegger	 Frederik; Plöger	 Paul G; "	On recognizing transparent objects in domestic environments using fusion of multiple sensor modalities	Robot world cup			3-15	2016	"Springer	 Cham"
"Dwiputra	 Rhama; Füller	 Matthias; Hegger	 Frederik; Schneider	 Sven; Hochgeschwender	 Nico; Awaad	 Iman; Loza	 José M Sánchez; Ozhigov	 Alexey Y; Biswas	 Saugata; Deshpande	 Niranjan V; "	The b-it-bots Robo-Cup@ Home 2014 Team Description Paper	"RoboCup	 João Pessoa	 Brazil"			1-6	2014	
"Hagg	 Alexander; Asteroth	 Alexander; Bäck	 Thomas; "	Prototype discovery using quality-diversity	International Conference on Parallel Problem Solving from Nature			500-511	2018	"Springer	 Cham"
"Hagg	 Alexander; Asteroth	 Alexander; Bäck	 Thomas; "	Modeling user selection in quality diversity	Proceedings of the Genetic and Evolutionary Computation Conference			116-124	2019	
"Hagg	 Alexander; Zaefferer	 Martin; Stork	 Jörg; Gaier	 Adam; "	Prediction of neural network performance by phenotypic modeling	Proceedings of the Genetic and Evolutionary Computation Conference Companion			1576-1582	2019	
"Asteroth	 Alexander; "	AErOmAt Abschlussbericht					2020	Deutsche Nationalbibliothek
"Hagg	 Alexander; Wilde	 Dominik; Asteroth	 Alexander; Bäck	 Thomas; "	Designing air flow with surrogate-assisted phenotypic niching	International Conference on Parallel Problem Solving from Nature			140-153	2020	"Springer	 Cham"
"Hagg	 Alexander; Preuss	 Mike; Asteroth	 Alexander; Bäck	 Thomas; "	An analysis of phenotypic diversity in multi-solution optimization	International Conference on Bioinspired Methods and Their Applications			43-55	2020	"Springer	 Cham"
"Hammes	 Fabian; Link	 Daniel; Lames	 Martin; Hagg	 Alexander; Asteroth	 Alexander; Pfeiffer	 Mark; "	Einsatz von Künstlicher Intelligenz im internationalen Spitzensport–Eine Erhebung des Status Quo	spinfortec 2020 digital			28	2020	
"Reeb	 Luca; Dzibela	 Daniel; Marzilger	 Robert; IIS	 Nicolas Witt–Fraunhofer; Bonn-Rhein-Sieg	 Ronald Burger–Hochschule; Hagg	 Alexander; Asteroth	 Alexander; Pfeiffer	 Mark; Hammes	 Fabian; Bonn-Rhein-Sieg	 Daniel Link–Hochschule; "	Session Informations-und Feedbacksysteme	spinfortec 2020 digital			17		
"Hagg	 Alexander; Asteroth	 Alexander; Pfeiffer	 Mark; Hammes	 Fabian; Link	 Daniel; "	Einsatzmöglichkeiten und Transfer von Künstlicher Intelligenz im inter-nationalen Spitzensport–zwischen Small und Big Data	spinfortec 2020 digital			26	2020	
"Hagg	 Alexander; Asteroth	 Alexander; Bäck	 Thomas; "	A Deep Dive Into Exploring the Preference Hypervolume	International Conference on Computational Creativity			394-397	2020	
"Hagg	 Alexander; Berns	 Sebastian; Asteroth	 Alexander; Colton	 Simon; Bäck	 Thomas; "	Expressivity of parameterized and data-driven representations in quality diversity search	Proceedings of the Genetic and Evolutionary Computation Conference			678-686	2021	
"Hagg	 Alexander; "	Phenotypic Niching Using Quality Diversity Algorithms	Metaheuristics for Finding Multiple Solutions			287-315	2021	"Springer	 Cham"
"Hagg	 Alexander; "	Discovering the preference hypervolume: an interactive model for real world computational co-creativity					2021	"Leiden Institute of Advanced Computer Science	 Faculty of Science	 Leiden …"
